gengxin,id,title,zuozhe
04-15,300696,坐等补缺口，50万资金已到位,财友ejfuxvon
04-12,300696,完了，快跑吧！,zzmmhtd
04-12,300696,波音飞机事件对爱乐达属于重大利空,充满忐忑
01-31,300696,破20，吊打死多。悲哀，谁之悲哀啊？无知，幻想害了他们自己。,财友cplbfmmw
01-31,300696,真佩服死多的勇气和无知。跌一半还嘴硬,旅游巴士
01-31,300696,小散些，还在买，想要买跌停啊,松听露
01-31,300696,在祟尚价值投资的今天，今年的业绩还有40%没有算进来，如果算进来的话不可能是这样的业绩的，,财友vmujdpfq
10-19,300696,军民融合！爱乐达起飞！,钟丽华
10-19,300696,当初忽悠中航收购的猪走了，现在本帅可以冒泡了,财友mhjgzzhh
10-19,300696,负责压盘爱乐达的恶人！撤退吧！别把筹码都丢了！,贲晴虹
10-17,300696,这点成交量，减持不容易啊,CarrEddie
07-20,300696,没有成交量的反弹就是无源之水无本之木。坚定做空。,谈笑風雲
07-20,300696,据说公司将发布中报业绩修正公告，改为增长40%-60%,季蕊珠
07-20,300696,696还有4周交易就迎来大量原始股东解禁,水清宁
06-21,300696,哈哈，昨天全仓卖了，等的就是今天下午。,弘融雪
06-21,300696,八倍不死，此股不涨！,镇令璟
06-07,300696,涨停涨停,财友lvtxjieb
06-07,300696,全仓买入，明天涨停！,股市夜绿
06-06,300696,收盘涨停,骆修真
06-06,300696,现在是比耐心的时候。,财友初晴
05-17,300696,股东大会不来点惊喜,qklfdptnro
05-02,300696,今日跌板收盘，到20元左右止跌，我预测的,PoppyFreeman
05-02,300696,流通股前十大股东都在吃进，不知道散户门怕什么,财友wmzejlwn
04-26,300696,这股票属于哪个版块,集如容
04-26,300696,今天最高点在73.09！！！,财友stcvdhvn
04-12,300696,明天低开5个点跌停板,窦蕙兰
04-12,300696,坚决看好爱了达，快速拉升后调整几天大家都等不及了吗？,MariaDefoe
04-12,300696,挨了达，今天走势最理想是涨幅不超过5个点，可能还是跌的,羽盼巧
04-11,300696,二点半开始拉升,剧其雨
04-11,300696,不要恋战，快卖，给你一个逃命点，后面继续跌，量是根本，不放量，没戏,展新曦
04-11,300696,87.5元的成本，锁仓半年不看股票，专心做生意,暴浩慨
04-11,300696,走了，换股，拉圾庄，真不知道脑子想什么。,字泰和
04-10,300696,以后的日子就是站岗放哨 一片哀鸣之声不堪入耳,eknesdilck
04-10,300696,出完货以后就是阴跌,财友昊明
04-10,300696,收盘价92.18元，拭目以待,禹书白
04-04,300696,#中美贸易摩擦##中美贸易摩擦# 500亿！商务部公告将对美大豆、汽车、飞机等产,司寇湛娟
04-04,300696,现在的期待就是过节期间的中国反制清单，大飞机节后会不会一字板的问题，还是连板？,PaddyCroft
04-04,300696,主力给力点,财友xkwxirtg
03-31,300696,主力高位出货,康梦秋
03-30,300696,死鸟，两天连续出货，一天比一天多,麴慕蕊
03-30,300696,中国股市这次干得漂亮，下周黑马逆势大爆发！,财友洮洮
03-30,300696,这股怎么啦,才向晨
03-30,300696,明天涨停，不要问哥啥原因，哥不是传说,OswaldSpring
03-29,300696,看好的人真多,童静逸
03-29,300696,没人买了。。。,铁坚诚
03-29,300696,老师说：今天进去如果不赚我包赔,洪易梦
03-29,300696,78买入不知是福是祸,阔论高谈
03-29,300696,原标题：高调搞贸易战的美国内心却极其脆弱惶恐！且听一个小故事,回水荷
03-28,300696,本来挣4800的，现在只挣了1500，艹！,ehllcdpxhn
03-28,300696,明天是什么呢？下午继续了想上的来慢了没有，不要华隆是我。,财友desnaoqo
03-28,300696,自己吹逼玩去，随便你怎么顶，这个垃圾够你跌两年了，你看我会买一毛钱么,财友pdzifiqz
03-22,300696,属猴的,检雨彤
01-30,300696,积极申购上证1000ETF,酒神一诺
01-29,300696,周一大涨百分之二，公告利好,财友uhliyzzg
01-29,300696,年前上90: 看到的有福啦 哈哈哈 一起赚大钱。68.7买了四千股！,毛听露
