,ts_code,ann_date,end_date,type,p_change_min,p_change_max,net_profit_min,net_profit_max,summary,change_reason
0,300719.SZ,20190410,20190331,续亏,-29.6166,-9.6755,-1300.0,-1100.0,预计:净利润-1300--1100,2019年第一季度，公司经营情况总体稳定向好，根据公司战略、年度计划及预算，持续进行业务开拓、生产运营及管理提升等工作，由于人工费用及研发费用较上年同期有所增长，导致本报告期归属于上市公司股东的净利润较上年同期基本持平或略有下降。
1,300719.SZ,20190131,20181231,略减,-44.0,-35.0,5000.0,5800.0,预计:净利润5000-5800,报告期内，公司整体主营业务收入较上年同期有所增长，但归属于股东的净利润较上年同期有所下降，主要有以下因素：1、受主要客户部分采购计划延迟下达的影响，报告期内主营业务收入未实现与资源投入相匹配的增长。2、公司为满足中长期战略发展需要，进行了人才储备，员工数量较2017年增加，使得相关人工费用增加。3、公司在2018年度按照既定的战略发展计划，持续加大了研发投入。4、公司按照既定经营计划，2018年度在原有厂区基础上扩展了两个新的办公厂区，使得相关运营费用增加。5、报告期内预计非经常性损益对净利润的影响金额约为1200万元。
2,300719.SZ,20181015,20180930,首亏,-360.6114,-334.5502,-2000.0,-1800.0,预计:净利润-2000~-1800,2018年前三季度，利润较上年同期有所下降。主要原因为公司按照既定的经营计划持续加大研发投入；同时，为满足公司战略发展需要，公司人员较上年同期有所增加，相关费用增长。
3,300719.SZ,20180713,20180630,续亏,75.6687,87.8344,-200.0,-100.0,预计:净利润-200~-100,报告期内，公司围绕既定的发展战略，各项经营计划稳步推进，持续加大业务拓展投入。2018年上半年归属于上市公司股东的净利润同比增加，主要原因是销售收入较上年同期有所增长。
4,300719.SZ,20180426,20180630,-,,,,,不确定,
5,300719.SZ,20180331,20180331,续亏,-170.7887,-103.0915,-1200.0,-900.0,预计:净利润-1200~-900,2018年第一季度，公司经营情况保持稳定，持续加大业务开拓投入，管理费用较上年同期有一定幅度增长，导致本报告期归属于上市公司股东的净利润较上年同期有所下降。.
6,300719.SZ,20180131,20171231,续盈,-4.59,0.9,8700.0,9200.0,预计:净利润8700-9200,1、报告期内，公司坚持既定的发展战略，各项经营计划有序开展，公司经营情况保持稳定。由于2017年的部分订单计划延至2018年度执行，使得报告期内主营业务收入较上年增长幅度较小，公司为战略发展进行的人员储备使得报告期内人工成本有所上升。预计净利润与上年同期基本持平。2、报告期内，预计非经常性损益对净利润的影响金额约为238.63万元，主要为政府补助款。
0,300696.SZ,20190410,20190331,预增,149.79,176.08,2270.0,2508.0,预计:净利润2270-2508,"1、公司经营情况保持稳定，一季度净利润较上年同期大幅上升,主要系上年度末未结算某军机项目大部分于本季度结算；另本季度应收账款回款冲回资产减值损失，相比上年同期影响净利润金额约230万元。2、报告期内，预计公司非经常性损益对净利润的影响金额约200万元。"
1,300696.SZ,20190130,20181231,略减,-10.22,-2.66,6611.0,7168.0,预计:净利润6611-7168,1、报告期内，公司经营稳定推进，业务有序拓展，订单保持增长。2018年末发出商品余额较上年末增加40%左右，但由于已交付某军机项目至年末未达到收入确认条件，导致报告期收入与上年同期比较有所下降；同时受主营业务成本（折旧、薪酬等）增加影响，单纯看归属于上市公司股东的净利润比上年同期有所下降。2、报告期内，预计非经常性损益对净利润的影响金额约为人民币1760万元，主要为理财收益、政府补助等。
2,300696.SZ,20181013,20180930,略增,17.46,27.15,4475.0,4844.0,预计:净利润4475-4844,"1、报告期内，公司经营情况保持稳定，营业收入较上年同期稳定上升，归属于上市公司股东的净利润与去年同期相比保持增长。由于第三季度部分产品集中结算等原因，该季度收入利润同比增幅较大。（注：公司产品结算时间存在波动性，投资者不能仅依据公司季度收入利润波动预测全年收入利润。）2、预计公司2018年1-9月非经常性损益对净利润的影响金额约为1,050万元。"
3,300696.SZ,20180712,20180630,略增,4.0,13.0,3740.0,4063.0,预计:净利润3740-4063,1、报告期内，公司经营情况保持稳定，经营模式未发生变化，营业收入较上年同期稳定上升，归属于上市公司股东的净利润与去年同期比较保持增长。2、报告期内，预计非经常性损益对公司净利润的影响金额约为720万元。公司产品大多数为先交付后结算，产品结算存在跨多个会计期间的情况，产能与销售收入不能一致对应。
4,300696.SZ,20180410,20180331,略增,1.86,20.79,831.0,985.0,预计:净利润831-985,1、报告期内，公司整体经营情况稳定，产品订单保持稳步增长，受营业收入增长等因素影响，归属于上市公司股东的净利润较上年同期上升，上升幅度预计为1.86%-20.79%。2、报告期内，预计公司非经常性损益对净利润的影响金额约为119万元。
5,300696.SZ,20180130,20171231,略增,0.0,15.0,6818.0,7841.0,预计:净利润6818-7841,"1、报告期内，公司经营稳定,经营模式未发生重大变化。公司销售收入保持增长，但由于募投项目厂房验收、设备和人员薪酬增加等使得生产成本大幅上升，以及上市相关费用、厂房装修、搬迁等使得管理费用增幅较大，因此净利润增幅小于收入增幅。2、报告期内，预计非经常性损益对净利润的影响金额约为人民币540万元，主要系收到的政府相关资助补贴，以及公司理财产生的收益。"
0,002297.SZ,20190322,20190331,预减,-100.0,-50.7711,0.0,400.0,预计:净利润0-400,业绩变动主要因为子公司博云东方和伟徽新材因市场原因导致净利润下降。
1,002297.SZ,20181026,20181231,扭亏,132.0571,148.0857,2000.0,3000.0,预计:净利润2000-3000,主要为公司挂牌出售控股子公司博云汽车82.59%股权获得部分投资收益所致。 
2,002297.SZ,20180821,20180930,扭亏,125.1529,136.586,550.0,800.0,预计:净利润550-800,1、公司硬质合金及稀有金属粉体材料业务效益较去年同期有一定幅度增长；2、合资公司较去年同期亏损减少；3、子公司博云东方闲置房产转让使净利润有所增加。
3,002297.SZ,20180714,20180630,扭亏,116.9405,142.3512,200.0,500.0,预计:净利润200-500,1、报告期内，非经常性损益对经营业绩的影响额为425.54万元。2、母公司博云新材营业收入较去年同期相比增幅较大，导致净利润超出预期。3、全资子公司伟徽新材因收入增长及汇率变动原因，导致净利润超出预期。4、控股子公司博云东方因产品结构调整，导致毛利率高于原预估，净利润超出预期。
4,002297.SZ,20180426,20180630,续亏,23.7678,49.1785,-900.0,-600.0,预计:净利润-900~-600,1、公司航空、航天产品收入较去年同期有较大增长；2、合资公司较去年同期亏损减少.
