,ts_code,trade_date,close,open,high,low,change,vol,amount
0,300719.SZ,20190430,10.79,12.2,13.46,10.6,-1.34,71298493.0,885213655.0
1,300719.SZ,20190329,12.13,11.53,13.82,11.15,0.59,160147110.0,2001363748.59
2,300719.SZ,20190228,11.54,9.37,12.0,9.37,2.22,64068284.0,698853603.01
3,300719.SZ,20190131,9.32,10.32,12.37,9.26,-0.96,108610132.0,1229985263.95
4,300719.SZ,20181228,10.28,11.01,12.13,10.1,-0.55,61044119.0,666689535.96
5,300719.SZ,20181130,10.83,11.23,12.31,10.56,-0.41,76667730.0,883341775.88
6,300719.SZ,20181031,11.24,13.46,13.48,10.6,-2.22,76837385.0,932355776.14
7,300719.SZ,20180928,13.46,13.0,16.7,12.43,0.13,174471641.0,2521479365.29
8,300719.SZ,20180831,13.33,14.66,14.83,11.8,-1.28,89681004.0,1183158115.98
9,300719.SZ,20180731,14.61,15.9,16.52,14.5,-1.26,81277799.0,1275940060.47
10,300719.SZ,20180629,15.87,17.25,18.95,14.21,-1.7,100583094.0,1695148779.05
11,300719.SZ,20180531,17.57,26.55,30.15,17.0,-8.98,222000550.0,4516031597.1
12,300719.SZ,20180427,26.55,28.47,33.3,25.61,-2.21,189900046.0,5684652355.45
13,300719.SZ,20180330,28.76,20.88,35.5,20.88,7.58,213887854.0,5766984834.19
14,300719.SZ,20180228,21.18,24.02,24.15,18.56,-2.83,47041692.0,982751125.33
15,300719.SZ,20180131,24.01,26.45,32.29,24.01,-2.21,154745968.0,4212129101.25
0,300696.SZ,20190430,24.81,25.15,29.17,24.01,0.0,43353329.0,1151055365.86
1,300696.SZ,20190329,24.81,24.25,28.8,23.6,0.43,49171932.0,1261105710.39
2,300696.SZ,20190228,24.38,19.7,25.21,19.57,4.84,24640053.0,568735628.24
3,300696.SZ,20190131,19.54,22.3,24.15,19.1,-2.76,25303014.0,575280644.03
4,300696.SZ,20181228,22.3,23.06,24.04,21.66,-0.27,19491182.0,441320248.44
5,300696.SZ,20181130,22.57,23.61,25.74,22.06,-0.69,33600039.0,803774928.3
6,300696.SZ,20181031,23.26,26.6,26.6,21.17,-3.94,24668623.0,579718081.07
7,300696.SZ,20180928,27.2,24.24,30.78,24.19,2.84,69422880.0,1949269919.19
8,300696.SZ,20180831,24.36,29.35,29.54,23.23,-4.89,38280935.0,994353383.24
9,300696.SZ,20180731,29.25,32.0,35.0,28.85,-3.04,38921340.0,1271042406.87
10,300696.SZ,20180629,32.29,34.3,36.5,29.2,-2.07,39094384.0,1296847338.07
11,300696.SZ,20180531,34.36,65.13,71.54,33.01,-30.61,33689186.0,2171957230.79
12,300696.SZ,20180427,64.97,74.9,88.5,61.58,-10.75,66653726.0,5017088888.9
13,300696.SZ,20180330,75.72,49.65,84.78,49.65,25.42,49991133.0,3370007566.47
14,300696.SZ,20180228,50.3,57.58,58.45,43.23,-7.29,13974654.0,686339204.44
15,300696.SZ,20180131,57.59,71.04,72.83,57.59,-13.31,20519614.0,1381352721.8
0,002297.SZ,20190430,7.26,8.02,8.91,7.02,-0.73,264402184.0,2158235237.25
1,002297.SZ,20190329,7.99,7.26,9.35,7.09,0.75,549614143.0,4478404371.31
2,002297.SZ,20190228,7.24,5.98,7.5,5.98,1.29,220314526.0,1507124091.52
3,002297.SZ,20190131,5.95,5.97,7.2,5.9,-0.01,270503658.0,1804758881.36
4,002297.SZ,20181228,5.96,6.25,6.77,5.94,-0.19,132204830.0,835908597.72
5,002297.SZ,20181130,6.15,6.32,7.0,5.96,-0.15,275403743.0,1798565776.47
6,002297.SZ,20181031,6.3,7.1,7.3,5.63,-0.84,245537259.0,1577489038.27
7,002297.SZ,20180928,7.14,5.67,8.8,5.61,1.45,420239416.0,3204914608.97
8,002297.SZ,20180831,5.69,6.46,6.52,5.64,-0.79,81952857.0,488368604.26
9,002297.SZ,20180731,6.48,6.06,6.75,5.82,0.39,136269593.0,859808540.53
10,002297.SZ,20180629,6.09,7.27,7.46,5.57,-1.23,89745818.0,576533072.37
11,002297.SZ,20180531,7.32,7.99,8.5,7.13,-0.72,144266416.0,1148006489.2
12,002297.SZ,20180427,8.04,8.95,9.82,7.64,-0.91,242071481.0,2128003320.84
13,002297.SZ,20180330,8.95,7.66,9.89,7.5,1.29,428844757.0,3671588367.74
14,002297.SZ,20180228,7.66,10.15,10.15,7.31,-3.62,107521883.0,823974743.24
0,002023.SZ,20190430,11.84,13.11,13.64,11.51,-1.02,576658849.0,7378825367.98
1,002023.SZ,20190329,12.86,11.76,14.15,11.36,1.11,1111041342.0,14291968232.93
2,002023.SZ,20190228,11.75,10.17,12.43,10.05,1.73,585874164.0,6635831860.85
3,002023.SZ,20190131,10.02,10.35,11.45,9.85,-0.33,682217321.0,7263760031.66
4,002023.SZ,20181228,10.35,8.97,11.19,8.79,1.64,727446269.0,7385186164.57
5,002023.SZ,20181130,8.71,8.69,9.97,8.41,0.1,432581463.0,3971645952.02
6,002023.SZ,20181031,8.61,10.85,10.85,8.06,-2.45,323232787.0,2898837082.6
