,ts_code,chairman,manager,secretary,reg_capital,setup_date,province,city,introduction,website,business_scope,employees,main_business
0,002927.SZ,黄正乾,黄正乾,余辉,12194.0,20081107,贵州,遵义市,公司是中国低压电器行业的领军企业，是中国电器工业最具影响力品牌之一。公司成立至今一直从事低压断路器、双电源自动转换开关、工控自动化产品等低压电器元器件及其系统集成成套设备的研发、生产和销售，始终专注于国内低压电器行业的中高端市场。公司通过自主研发掌握了多项低压电器核心专利技术，能够提供多种完善的低压电器产品和解决方案，并一直致力于打造国内低压电器行业领先的民族品牌，在低压电器行业中高端市场中树立了良好的品牌形象。公司研发、生产及销售的低压断路器及双电源自动转换开关系列产品技术先进、品种齐全、规格全面，广泛应用于各类对配电可靠性和低压电器性能要求较高的领域，曾服务于中国移动数据中心、上海轨道交通、深圳证券交易中心等多个国家级、省市级重大项目。通过多年努力，公司获得了“数据中心优秀产品应用奖”、“十大电气创新产品”、第十届轨道交通与城市国家峰会“松睿奖”最佳轨道交通供电品牌奖等荣誉。,www.taiyong.net,开发、生产经营智能型低压电器系列产品、机电一体化工业自动化产品、输配电设备及附件、消防类产品；电动汽车充电设备研发、制造及销售；新能源汽车充电设施运营；电动汽车充电系统及互联网平台技术研发、技术咨询及销售；电动汽车充电站监控系统的研发、技术咨询及销售（以上经营范围国家法律、法规禁止经营的项目不得经营；国家法律、法规规定应经审批而未获得审批的项目不得经营）。,922.0,"主要产品:PC级双电源自动转换开关及CB级双电源自动转换开关产品,万能式断路器,塑料外壳式断路器系列低压配电电器元器件产品,小型断路器和浪涌保护器系列低压电器元器件产品,接触器,隔离开关及控制与保护开关电器产品.主营业务:从事低压断路器,双电源自动转换开关,工控自动化产品等低压电器元器件及其系统集成成套设备的研发,生产和销售."
1,300696.SZ,范庆新,杨有新,陈苗,11721.5,20040301,四川,成都市,"公司立足航空领域，主要从事军用飞机和民用客机零部件的精密加工业务。公司设立十余年来，累积参与了多种型号涉及3,000余项航空零部件的配套研制及生产，积累了丰富的精密加工技术和经验，并形成了一批广泛应用于公司主营业务的核心技术和专利。公司坚持“军民融合，一体两翼”的发展思路，同时开展军品和民品业务。经过多年潜心经营，凭借创新的技术优势、高水平的生产管理及质量控制优势，公司已与行业主要客户建立了广泛而深入的合作关系，客户覆盖中航工业下属多家军机主机厂、成飞民机等多家民用客机分承制厂，以及一批航空装备主修厂和多家科研院所。公司高度重视技术研发，形成了高精度盲孔加工、复杂深腔钛合金类零件加工等数十项关键核心技术，部分飞机零部件的加工技术达到国内先进水平。公司产品加工良品率达到99.50%以上，处于行业先进水平，获得中航工业下属飞机制造单位“优秀供应商”荣誉。",www.cdald.com,机械零部件、模具、机电设备、电子元器件、成套电缆及电缆线束总成的设计、制造、销售；飞机零部件、地面设备的研发、制造、修理、技术服务及销售；飞机零部件的特种检测、理化试验及热表处理；货物及技术进出口(以上经营项目不含前置许可项目、后置许可项目凭许可证或审批文件经营)(依法须经批准的项目，经相关部门批准后方可展开经营活动)。,393.0,"主营业务:公司立足航空领域,报告期内主要从事军用飞机和民用客机零部件的精密加工业务.主要产品:飞机机身,机翼,尾翼,起落架等机体相关零部件的精密加工."
2,300742.SZ,李占江,李占江,徐顺,7849.857,20120419,江苏,南京市,公司是国内领先的新能源汽车动力总成系统产品和解决方案提供商。公司始终坚持以自主创新和领先科技为核心驱动力的内涵式发展道路，拥有新能源汽车整车控制技术、驱动电机及控制技术、自动变速器及控制技术、动力系统集成一体化技术等核心技术。目前已与多个国内顶级新能源汽车厂商展开合作。公司先后获得国家高新技术企业、工信部品牌培育试点企业、国家智能制造综合标准化与新模式应用项目实施单位、江苏省隐形冠军企业、江苏省科技小巨人企业等荣誉；承担了国家火炬计划产业化示范项目、江苏省科技成果转化专项等项目30余项。依托越博动力新能源汽车研究院，公司获批建立了江苏省新能源汽车动力系统重点实验室、江苏省新能源汽车动力总成工程技术研究中心、江苏省认定企业技术中心、江苏省博士后创新实践基地等省级研发创新平台。同时与吉林大学汽车仿真与控制国家重点实验室、北京理工大学、南京理工大学等著名国内外十多家高校和科研机构形成了长期战略合作关系。,www.yuebooemt.com,汽车动力系统技术研发、检测，车辆系统及零部件的研发、生产、检测、销售、技术咨询；新能源汽车动力总成系统、电机及控制系统、整车控制系统的研发、生产、检测、销售、技术咨询；电子产品、智能驾驶系统、自动变速器、传动系统、车桥总成、充电设备、车用电动附件、动力电池系统、储能系统的研发、生产、检测、销售、技术咨询；道路货物运输；通讯设备(不含广播电视卫星地面接收设施)的研发、生产、检测、销售、技术咨询；电子设备、自动化设备、模具的研发、生产、检测、销售；车辆维修、计算机系统服务。(依法须经批准的项目，经相关部门批准后方可开展经营活动),666.0,"主要产品:为纯电动汽车动力总成系统.主营业务:事新能源汽车动力总成系统的研发,生产和销售."
3,300719.SZ,赵子安,赵子安,杜筱晨,25332.75,20011203,北京,北京市,公司致力于航空机载电子设备维修业务，是集航空机载设备研制、航空机载设备维修、测控设备研制、飞机加改装和航材贸易等业务为一体的航空技术解决方案综合提供商。公司为军方、商业航空、通用航空及航空制造企业等用户提供系统化航空产品及相关技术保障的解决方案，综合实力处于行业领先地位。公司在持续提升航空机载设备维修技术的同时，积累了大量机载设备及测控设备的研制经验，充分利用国内现有专业资源优势，将理论研究应用到产品研发中，开展了航空机载设备及测控设备的研制业务，获得多项技术专利，实现了技术的持续创新和业务领域的不断拓展，建立并巩固了公司在行业内的领先地位。公司及其子公司因自身的技术实力及服务能力，已经获得包括国家高新技术企业、中关村高新技术企业、中关村高成长企业TOP100、中国人民解放军科学技术进步二等奖等在内的多项资质及奖项，并因为在参加“纪念中国人民抗日战争暨世界反法西斯战争胜利70周年”阅兵活动中做出贡献而获得军方客户的专项表彰。,www.andawell.com,技术开发、技术推广、技术转让、技术服务；技术进出口、代理进出口、货物进出口；销售机械设备、五金交电、电子产品；基础软件服务、应用软件服务；飞机零件、配件制造及修理；飞机测试设备制造；飞机自动驾驶仪和惯性器件专用设备制造；仪器仪表制造；电子、机械零部件加工及设备修理；照明器具制造；金属家具制造；出租商业用房，出租办公用房。(限分支机构经营)(企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。),644.0,"公司的主营业务主要为航空机载设备研制,机载设备维修,测控设备研制等.主要产品:机载设备研制业务的主要产品包括机载机械设备,机载电子设备和PMA产品.航空机载设备维修业务主要包括机载电子设备维修和机载机械设备维修两大专业.测控设备研制业务的设备类型包括机上原位检测设备,地面综合实验设备,通用自动检测设备,专用测试设备等."
4,300679.SZ,陈育宣,陈育宣,聂成文,21600.0,20061120,广东,深圳市,公司专业从事微型电连接器及互连系统相关产品的技术研究、设计、制造和销售服务。公司具备高可靠、高性能产品的设计、制造能力，自主研发的微型射频连接器具有显著技术优势，已达到国际一流连接器厂商同等技术水平，产品广泛应用在以智能手机为代表的智能移动终端产品以及车联网终端、智能家电等新兴产品中。公司凭借领先的技术水平，已成为深圳市企业技术中心、深圳市质量强市骨干企业、广东省创新型试点企业和国家级高新技术企业。公司坚持不断开拓创新，成功开发出一系列新产品并成功推向市场，多项产品获得“广东省高新技术产品”称号。,www.ectsz.com,精密模具、通讯用电子连接器、电子塑胶制品的技术开发、设计、销售，国内商业、物资供销业，货物及技术进出口。自有房屋租赁。(以上项目均不含法律、行政法规、国务院决定规定需前置审批及禁止项目)；精密模具、通讯用电子连接器、电子塑胶制品的制造。,4120.0,"主要产品:微型电连接器及互连系统相关产品.主营业务:微型电连接器及互连系统相关产品的技术研究,设计,制造和销售服务."
5,002952.SZ,贾继涛,贾继涛,边瑞群,7304.0,20120709,辽宁,鞍山市,公司下设全资子公司亚世光电(鞍山)有限公司。公司属于国内液晶领域领先企业，拥有2条国际领先水平的液晶显示屏生产线和8条光电显示模组生产线。能够研发和生产高、中、低档各系列液晶显示产品，逐步具备了引领行业市场发展的产品研发能力。在TN/STN液晶显示屏及模组产品领域，公司凭借积累优秀的制造技术，在主要细分市场上具有明显的竞争优势，产品在行业内具有良好品牌效应和品质优势。公司具有完善、系统的组织架构及管理、技术、品质、生产、商务等各项管理体系，并能够按照公司发展需求进行不断的自我完善和自我提升。公司先后取得了ISO9000质量管理体系认证证书和ISO14000环境管理体系认证证书以及国际汽车工作组(IATF)ISO/TS16949质量管理体系认证，公司的质量管理体系符合所在行业一流公司的要求。公司于2014年10月22日获得高新技术企业证书，于2014年10月31日被授予辽宁省创新型中小企业称号。,www.yes-lcd.com,生产激光打印机显示控制组件、激光扫描电子价签、3D显示器件、触控系统、LED背光源及其他平板光电显示器件，激光测量仪器仪表和其他电子专用设备、测试仪器、工装模具，激光加工与电子产品加工装配，计算机软件，技术咨询、技术服务和技术转让。(依法须经批准的项目，经相关部门批准后方可开展经营活动)。,1697.0,"液晶显示屏及模组的研发,生产和销售"
6,002938.SZ,沈庆芳,陈章尧,周红,231143.0816,19990429,广东,深圳市,公司由原富葵精密组件(深圳)有限公司整体变更设立。公司成立于1999年4月29日，主要从事各类印制电路板的设计、研发、制造与销售业务。多年来，公司以“发展科技、造福人类，精进环保、让地球更美好”为使命，遵循“稳增长、调结构、促创新、控风险”的经营策略，致力于与世界一流客户合作，运用先进的研发技术，配合高效率、低成本的运营手段，构建体系完善、布局合理的产供销体系，打造“效率化、合理化、自动化、无人化”的四个现代化制造工程。目前，公司的制造基地分布于深圳、秦皇岛、淮安及营口，服务半径覆盖中国大陆、中国台湾、日本、韩国、美国及越南等地，可以为全球客户提供快速、高效的优质服务，已成为业内极具影响力的重要厂商之一。,www.avaryholding.com,生产经营新型电子元器件、自动化设备及其零配件、精密模具及其零件、各类印刷电路板、电子信息产品板卡。从事电子信息产品及其板卡的批发、进出口及相关配套业务；自有房屋租赁；仓储服务。(不涉及国营贸易管理商品，涉及配额、许可证管理及其他专项规定管理的商品，按国家有关规定办理申请)。,35479.0,"主要从事各类印制电路板的设计,研发,制造与销售业务.专注于为行业领先客户提供全方位PCB产品及服务,根据下游不同终端产品对于PCB的定制化要求,可以为客户提供涵盖PCB产品设计,研发,制造与售后各个环节的整体解决方案."
7,300597.SZ,林佳云,林佳云,周伟,24000.0,19850410,吉林,长春市,公司原隶属于长春邮电学院，现隶属吉林大学，是专业从事通信工程项目咨询、勘察、设计的企业，具有国家住房和城乡建设部批准的甲级勘察、设计资质；国家发展和改革委员会批准的通信信息专业甲级工程咨询资质；中国通信企业协会批准的通信信息网络系统集成甲级资质。公司多年被吉林省工商行政管理局、吉林省信用认证中心评为“质量诚信企业”、获得吉林省高新技术企业认证。公司可在全国范围内承担通信领域内各专业、各种规模的规划、可行性研究、评估、方案设计、项目建议书、技术规范书、勘察、设计、优化和技术咨询、技术研发等工作。公司的服务范围已覆盖东北、华北、西北、西南、华南等大部分地区。,www.jlucdi.com,通信企业管理咨询；通信工程勘察、规划、方案、可行性研究、初步设计、施工图设计和工艺设计；通信工程、建筑智能化系统集成工程施工与设计；计算机软、硬件开发；电子产品研发；技术服务与技术培训；通信网络优化；计算机软件销售、电子产品销售。,1353.0,公司主营业务为提供通信网络设计服务及通信网络工程服务.
8,300700.SZ,段志明,段志明,周家华,8240.0,20090408,湖南,长沙市,公司是国内一家专业从事金刚石线的研发、生产和销售的高新技术企业，为晶体硅、蓝宝石、磁性材料、精密陶瓷等硬脆材料切割提供专业工具与完整解决方案。公司致力于成为全球一流的硬脆材料加工耗材综合服务商。公司产品主要用于晶体硅、蓝宝石等硬脆材料的切割，是国内第一家掌握金刚石线研发、生产技术并大规模投入生产的企业，是国内领先的金刚石线制造商，是我国替代进口金刚石线产品的代表企业。公司生产的金刚石线目前已出口至台湾、俄罗斯等地区，覆盖全球一百多家知名光伏、蓝宝石加工企业。典型客户包括隆基股份、晶龙集团、阳光能源、申和热磁、保利协鑫、中环股份、卡姆丹克、台湾友达、比亚迪、四川永祥、昱辉阳光能源、俄罗斯Monocrystal、蓝思科技、晶美材料、云南蓝晶、伯恩光学、哈尔滨奥瑞德、水晶光电、晶盛机电等全球知名光伏、蓝宝石加工企业。,www.diamsaw.com,新材料的研究、开发；金刚石制品、超硬材料制品的研究、生产、销售及相关的技术服务；自营和代理各类商品和技术进出口(国家限定公司经营和禁止进出口的商品和技术除外)。(依法须经批准的项目，经相关部门批准后方可开展经营活动),895.0,"主营业务:金刚石线的研发,生产和销售.产品主要是电镀金刚石线."
9,300685.SZ,LI-MOU ZHENG,LI-MOU ZHENG,罗捷敏,14400.0,20080221,福建,厦门市,公司是我国首家专业化的肿瘤精准医疗分子诊断试剂研发生产企业，公司主营业务系肿瘤精准医疗分子诊断产品的研发、生产及销售，并提供相关的检测服务。公司产品主要用于检测肿瘤患者相关基因状态，为肿瘤靶向药物的选择和个体化治疗方案的制定提供科学依据。公司是我国首家专业化的肿瘤精准医疗分子诊断试剂研发生产企业，公司具有自主知识产权的核酸分子检测技术(ADx-ARMS)是目前国际上肿瘤精准医疗分子诊断领域领先的技术之一，在肿瘤相关基因突变检测方面具有敏感、特异、简便、快捷的优点，适合于各种检测样本，并可用于多重基因高通量检测，达到行业公认的国际先进水平。基于核心技术的优势，公司成功研发出20余种肿瘤精准医疗分子诊断试剂，是同行业产品种类最为齐全的企业之一。针对目前肿瘤精准医疗最重要的EGFR、KRAS、BRAF、EML4-ALK、PIK3CA、ROS1、NRAS、Her-2等基因位点，公司陆续研发了13种独立或联合检测试剂，均为我国首批取得国家药监局医疗器械注册证书和通过欧盟CE认证的产品。基于上述产品，公司同时为患者和医疗机构提供专业的肿瘤精准医疗分子检测服务。,www.amoydx.com,从事分子诊断和免疫诊断试剂(三类6840体外诊断试剂)的研制、生产及相关技术服务和一类医疗器械、科研实验仪器的生产销售。,541.0,"公司主营业务系肿瘤精准医疗分子诊断产品的研发,生产及销售,并提供相关的检测服务.公司产品主要用于检测肿瘤患者相关基因状态,为肿瘤靶向药物的选择和个体化治疗方案的制定提供科学依据."
