,code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
0,603999,读者传媒,-2.105,5.58,5.62,5.69,5.51,5.7,3272140.0,0.56808,18355754.0,79.714,1.909,321408.0,321408.0
1,603998,方盛制药,-2.261,9.51,9.75,9.98,9.35,9.73,25813028.0,6.07084,249679833.0,55.941,3.852,415228.20672,404362.08072
2,603997,继峰股份,1.124,9.0,8.94,9.4,8.71,8.9,5815880.0,0.9204200000000001,52006577.0,18.88,2.977,575471.88,568683.765
3,603996,中新科技,1.05,7.7,7.61,7.85,7.58,7.62,5880901.0,1.95932,45271312.0,-29.615,1.71,231115.5,231115.5
4,603993,洛阳钼业,-2.25,3.91,3.97,3.99,3.91,4.0,54647523.0,0.30934,215954977.0,18.186,2.072,8445303.067953,6907317.079953
5,603991,至正股份,-0.263,18.96,18.86,19.04,18.7,19.01,551267.0,1.34197,10433098.0,37.176,2.851,141318.356208,77885.628528
6,603990,麦迪科技,0.897,43.89,43.58,44.6,42.6,43.5,606022.0,1.00548,26431962.0,63.609,7.558,353906.26887,264533.808
7,603989,艾华集团,-1.79,18.11,18.1,18.34,18.04,18.44,916668.0,0.23504000000000003,16666707.0,23.519,3.618,706293.665464,706293.665464
8,603988,中电电机,0.235,12.81,13.02,13.63,12.78,12.78,21512296.0,9.14638,283885568.0,61.0,4.357,301291.2,301291.2
9,603987,康德莱,2.069,7.4,7.2,7.5,7.16,7.25,3763210.0,1.44215,27828797.0,22.424,2.326,326790.66,193098.2788
10,603986,兆易创新,-3.354,82.4,83.5,85.2,81.25,85.26,4411267.0,2.12697,366766246.0,57.222,11.739,2347530.58112,1708952.75496
11,603985,恒润股份,-1.627,21.76,22.0,22.24,21.66,22.12,712712.0,1.07078,15597670.0,16.387,2.012,226304.0,144834.56
12,603980,吉华集团,-1.333,15.54,15.57,15.67,15.36,15.75,4464500.0,1.8175500000000002,69300304.0,11.053,1.732,777000.0,381713.818752
13,603979,金诚信,-0.573,8.68,8.65,8.85,8.64,8.73,2051772.0,0.35169,17890518.0,17.36,1.239,506398.518976,506398.518976
14,603978,深圳新星,1.91,20.81,20.2,21.09,19.96,20.42,2183192.0,2.86803,45063552.0,26.679,2.332,332960.0,158409.21608
15,603977,国泰集团,-0.678,7.33,7.34,7.37,7.26,7.38,711460.0,0.40435000000000004,5203660.0,33.318,1.553,286774.50734,128972.816
16,603976,正川股份,-0.125,16.03,16.05,16.15,15.78,16.05,810600.0,2.11645,12994592.0,29.145,2.398,242373.6,61394.800614
17,603970,中农立华,-0.74,17.43,17.07,17.87,17.07,17.56,3350230.0,4.20883,58297819.0,24.155,3.122,278880.13944,138742.93944
18,603969,银龙股份,7.874,5.48,5.04,5.59,5.0,5.08,13438492.0,1.59792,71206432.0,30.444,2.637,460868.0,460868.0
19,603968,醋化股份,-1.829,16.1,15.8,16.45,15.8,16.4,1321219.0,0.64614,21121316.0,16.429,2.185,329212.8,329212.8
20,603967,中创物流,0.618,26.03,25.18,26.65,25.07,25.87,15034167.0,22.55124,390256175.0,27.4,5.683,694133.4201,173533.4201
21,603966,法兰泰克,3.846,13.5,13.03,14.02,12.9,13.0,9621520.0,10.24842,130084792.0,42.188,3.177,284822.46,126742.0284
22,603963,大理药业,-1.355,15.29,15.25,15.5,15.11,15.5,1187417.0,1.55472,18168823.0,191.125,4.215,198770.0,116777.375
23,603960,克来机电,-0.892,27.79,28.0,28.16,27.51,28.04,1746329.0,2.59288,48596360.0,57.896,7.327,488437.04,187168.306724
24,603959,百利科技,-3.38,20.87,21.35,21.49,20.41,21.6,2897080.0,1.94487,60520200.0,43.479,5.734,654483.2,310879.52
25,603958,哈森股份,-6.781,9.21,9.51,9.59,9.01,9.88,6660980.0,10.09255,61422206.0,-32.091,1.96,202524.7686,60785.075316
26,603956,威派格,0.589,20.48,20.05,20.55,19.84,20.36,5721005.0,13.43082,115320259.0,68.267,8.561,872366.2848,87236.8128
27,603955,大千生态,0.259,15.46,15.36,15.55,15.25,15.42,564750.0,0.79185,8713796.0,19.403,1.5470000000000002,174852.6,110261.049298
28,603939,益丰药房,-1.25,60.83,61.0,61.7,58.05,61.6,1789660.0,0.49343000000000004,107588394.0,53.173,5.45,2292110.934498,2206271.604614
29,603938,三孚股份,-2.406,18.25,18.44,18.67,18.17,18.7,1320200.0,2.5995,24236754.0,24.333,2.518,274054.045,92685.545
30,603937,丽岛新材,0.439,11.44,11.4,11.79,11.29,11.39,2235600.0,2.94707,25674124.0,20.8,1.78,238958.72,86781.858592
31,603936,博敏电子,-2.291,16.21,16.3,16.72,16.11,16.59,2140365.0,1.27898,35035330.0,23.838,1.593,364769.326245,271274.35
32,603933,睿能科技,-2.408,17.02,17.29,17.36,16.92,17.44,1315060.0,3.65925,22538727.0,21.55,2.313,244642.076,61166.476
33,603929,亚翔集成,-3.465,17.83,17.85,18.44,17.7,18.47,9507980.0,9.84671,171513881.0,23.461,3.347,380420.88,172166.48
