gengxin,id,title,zuozhe
最后更新,300696,,
05-12 23:55,300696,刘鹤：合作是正确选择 重大原则决不让步 坚决反对加征关税,财经评论
05-12 23:45,300696,易会满讲话十大要点梳理：谈近期股市波动 强调上市公司质量,财经评论
05-12 23:52,300696,中办、国办印发《国家生态文明试验区(海南)实施方案》,财经评论
05-12 23:24,300696,人民日报头版头条：我国消费“主引擎”动力强,财经评论
05-12 04:55,300696,三大股指全线大涨，7×24小时股票快捷开户，把握市场机会！,东方财富网
05-10 16:08,300696,【¥88.00】A股为何上演绝地反击？下周怎么看？,东方财富网
05-12 16:39,300696,爱乐达:关于2019年限制性股票激励计划授予登记完成的公告,爱乐达资讯
05-12 23:53,300696,军工要起,好一个假牛市
05-12 20:39,300696,明天帮主力扫货[大笑][大笑][大笑],水墨丹青踏雪行
05-12 20:22,300696,可怜的太平洋证券：出了一个研究报告，买入评级，但是预计公司2019年每股收益0.,轻轻微风吹
05-12 18:39,300696,明天开盘跌停跌停跌停,股友CNEnUs
05-12 17:39,300696,减仓了一部分，后悔了，打电话问了股东户数大幅下跌。为自己的犹豫付出的代价巨大！悔,轻轻微风吹
05-12 15:01,300696,募投项目进展顺利，新业务拓展后劲十足,爱乐达资讯
05-12 12:24,300696,公司是否要加一部分财务杠杆以扩大经营呢？现在公司的财务状况实在太保守了！8个多亿,轻轻微风吹
05-12 00:40,300696,爱乐达：2018年归母净利润下降7%，降幅超营收,财经评论
05-11 22:16,300696,给力,似水流年30456
05-11 21:47,300696,爱乐达：少有的集三个优势为一体的潜力股,llff1128
最后更新,300696,,
05-11 21:15,300696,军工服周一开始回调，幅度大概40％-50％。,股友牛战熊
05-11 20:30,300696,下周暴涨，没买的周一赶紧买。,技术和运气
05-11 19:39,300696,亮瞎我的眼，打飞机概念是什么鬼,买彩票不中改炒股
05-11 19:34,300696,涨停复盘：A股现神奇“深V”走势 涨停股多达111只,财经评论
05-11 18:06,300696,首架新舟700飞机预计9月总装下线 定位于800公里以内区域航空运输业务,金色的小鱼儿
05-10 13:00,300696,爱乐达5月10日盘中涨停,爱乐达资讯
05-10 11:29,300696,爱乐达5月10日盘中涨幅达5%,爱乐达资讯
05-10 11:29,300696,爱乐达5月10日快速上涨,爱乐达资讯
最后更新,300696,,
05-11 16:54,300696,机械加工毛利80%以上，沪深两市找不出第二家吧？（谁能找出请告知，谢谢）今天卖出,等待买跌
05-11 10:14,300696,这次想像空间打开！牛逼,心想事成194
05-11 10:12,300696,爱乐达为什么会涨停？没有搞懂就别吠 ！这次涨停不是因为军工而涨停的！是公司产品验,心想事成194
05-11 09:55,300696,下午1点，全体大跳水，你却拉涨停，是怎么做到的？,牛牛来也
05-09 09:32,300696,爱乐达5月9日快速上涨,爱乐达资讯
05-08 08:51,300696,关注公司给c919加工零件不如关注给arj和新舟提供的零件。目前arj和新舟的产,轻轻微风吹
05-07 16:35,300696,爱乐达05月07日资金揭秘,资金解密
04-28 23:41,300696,感觉真的是娶不到老婆了，后悔以前没去珍惜那个对我主动的离婚女人，其实对我主动的女,许文强转世
04-25 13:29,300696,估计波音停飞停产对爱乐达的巨大影响很快就会显现出来。,云上漫步777
